user,date,stime,etime,task,iscomplete
武者小路,2022-02-23,20:47:43,21:12:54,小论文：完成各指标的线性回归图表,1.0
武者小路,2022-02-23,21:20:28,21:45:45,实验：弄完线性回归,0.0
武者小路,2022-02-23,21:53:33,22:20:08,实验：弄完线性回归,0.0
武者小路,2022-02-24,08:42:10,09:07:16,规划：每日任务,1.0
武者小路,2022-02-24,09:10:54,09:35:49,小论文：后续的章节的每段安排,1.0
武者小路,2022-02-24,09:40:52,10:06:47,实验：北京3结果,1.0
武者小路,2022-02-24,10:11:19,10:38:10,实验：总结下每张图是由什么数据的来的，最后应该选哪些数据,1.0
武者小路,2022-02-24,10:41:19,11:07:46,实验：完成不同城市的线性回归结果，，放在一张图里,0.0
武者小路,2022-02-24,14:03:22,14:28:42,实验：完成三个的城市的线性回归的结果合并,1.0
武者小路,2022-02-24,14:35:06,15:01:01,小论文：把线性回归图贴上去，，并且着手开始写，至少写第一段,1.0
武者小路,2022-02-24,15:34:17,16:00:50,开题报告提交,1.0
武者小路,2022-02-25,08:44:41,09:10:41,规划：复盘昨天和规划好今天的工作,1.0
武者小路,2022-02-25,09:15:16,09:41:28,小论文：完成两段线性回归的描述,0.0
武者小路,2022-02-25,09:45:31,10:35:25,小论文：完成平均速度那段,0.0
武者小路,2022-02-25,10:35:49,11:00:59,实验：寻找后续实验的解决方案,1.0
武者小路,2022-02-25,14:43:01,15:08:13,实验：GAM模型的python配置和规划,1.0
武者小路,2022-02-25,15:15:14,15:46:22,实验：GAM模型的实现,1.0
武者小路,2022-02-25,15:46:37,16:17:11,实验：看fb的是否能满足我的需求,1.0
武者小路,2022-02-25,16:17:45,16:51:13,实验：例子弄明白,1.0
武者小路,2022-02-25,16:55:34,17:30:13,实验：gam模型的自动采集,0.0
武者小路,2022-02-25,17:30:36,18:14:46,实验：模型的置信区间搞定！！,0.0
武者小路,2022-02-25,20:03:16,20:28:48,实验：搞定单城市的GAM模型,1.0
武者小路,2022-02-25,20:30:33,20:58:06,毕设：大纲整理！怎么修改0！,1.0
武者小路,2022-02-25,21:01:07,21:26:43,毕设：大纲整理！怎么修改！,1.0
武者小路,2022-02-25,21:31:07,22:00:43,毕设：思考与后续问题的关系！,1.0
武者小路,2022-02-25,21:59:33,22:24:28,SUE：完成公式,0.0
武者小路,2022-02-26,08:53:43,09:21:15,规划：一天的开始,1.0
武者小路,2022-02-26,09:22:40,09:48:01,实验：小提琴图,0.0
武者小路,2022-02-26,09:52:47,10:17:51,实验：完成小提琴图，并且开始写,1.0
武者小路,2022-02-26,10:52:47,14:43:11,小论文：第一部分写完,1.0
武者小路,2022-02-26,14:47:30,15:12:43,小论文：第二个因子的result,1.0
武者小路,2022-02-26,15:27:01,15:52:29,小论文：speed+speedcv写完,0.0
武者小路,2022-02-26,15:57:05,16:26:03,小论文：speedcv写完,1.0
武者小路,2022-02-27,10:04:09,10:29:04,规划：昨日反思与今日任务,1.0
武者小路,2022-02-27,10:36:02,11:01:21,小论文：备选路径数的文字部分,0.0
武者小路,2022-02-27,11:06:42,11:36:13,实验：备选路径数查看,1.0
武者小路,2022-02-27,11:36:45,11:59:10,小论文：交叉口数目,0.0
武者小路,2022-02-27,16:33:44,17:04:02,SUE：实验数据查看和基本分析,1.0
武者小路,2022-02-27,17:04:12,20:14:07,SUE：选一个OD对出来,0.0
武者小路,2022-02-27,20:14:41,20:34:22,SUE：选一个只有两条路径的OD对出来,1.0
武者小路,2022-02-27,20:45:21,21:15:31,SUE：shp导出,1.0
武者小路,2022-02-27,21:16:04,22:13:29,SUE：公式完成，算出θ,1.0
武者小路,2022-02-28,08:35:26,09:05:36,规划：昨日反思和今日事情,1.0
武者小路,2022-02-28,09:06:00,09:27:44,小论文：交叉口,1.0
武者小路,2022-02-28,09:36:48,10:23:01,小论文：交叉口差异系数,1.0
武者小路,2022-02-28,10:23:48,10:57:08,小论文：备选路径数,1.0
武者小路,2022-02-28,14:53:27,15:42:03,实验：相对重要性方法探索,1.0
武者小路,2022-02-28,15:43:06,16:14:56,小论文：小提琴图,1.0
武者小路,2022-02-28,19:16:12,19:41:31,开发：数据分析1,1.0
武者小路,2022-02-28,19:46:57,20:13:42,开发：数据分析2,1.0
武者小路,2022-02-28,20:16:26,20:46:24,开发：数据分析3,1.0
武者小路,2022-02-28,20:46:30,21:05:31,开发：数据分析4,1.0
武者小路,2022-02-28,21:11:32,21:39:11,开发：数据分析5,1.0
武者小路,2022-02-28,21:39:17,21:57:34,开发：数据分析6,1.0
武者小路,2022-03-01,09:41:29,10:09:49,规划：昨日反思与今日准备,1.0
武者小路,2022-03-01,10:10:16,10:46:33,开发：数据分析（得到摸鱼时间并可视化）,1.0
武者小路,2022-03-01,10:47:25,11:10:33,开发：数据分析（完成图表）,1.0
武者小路,2022-03-01,11:13:44,11:34:52,开发：数据分析（落地图表分析））,0.0
武者小路,2022-03-01,11:35:07,11:58:04,开发：搞清楚怎么布局图表,1.0
武者小路,2022-03-01,14:30:23,14:55:24,小论文：conclusion整体思路和模板完成,1.0
武者小路,2022-03-01,15:00:26,15:31:29,实验：完成降水数据的非线性回归以及检查开发摸鱼时间数据是否准确,1.0
武者小路,2022-03-01,15:34:55,16:00:19,小论文：总结前两段（分布和时间关系）,1.0
武者小路,2022-03-01,16:35:11,17:01:16,小论文:总结下面两段,0.0
武者小路,2022-03-01,17:05:30,17:30:17,毕设：大纲整理,1.0
武者小路,2022-03-01,19:07:58,19:32:11,毕设：大纲整理（绪论1）,1.0
武者小路,2022-03-01,19:38:41,20:05:05,毕设：绪论2（完成研究背景和意义的每段规划）,1.0
武者小路,2022-03-01,20:16:43,20:43:16,毕设：绪论3（国内外研究综述的规划探索）,1.0
武者小路,2022-03-01,20:47:07,21:25:50,开发：添加任务完成率曲线图,1.0
武者小路,2022-03-01,21:41:00,22:07:06,小论文：意义1,0.0
武者小路,2022-03-02,09:31:26,09:56:40,毕设：意义（至少写完300字）,0.0
武者小路,2022-03-02,10:03:18,10:27:23,毕设：明确要找的文献类型和数量（绪论1）,1.0
武者小路,2022-03-02,10:59:19,11:44:39,极限时间：思考奖励机制,1.0
武者小路,2022-03-02,14:53:18,15:18:27,毕设：交通拥堵对经济的影响2,0.0
武者小路,2022-03-02,15:26:00,15:56:17,毕设：意义的第二段,1.0
武者小路,2022-03-02,15:56:46,16:22:02,毕设：意义2（300字）,1.0
武者小路,2022-03-02,16:36:18,17:32:15,毕设：意义3（300字）,0.0
武者小路,2022-03-02,17:35:42,18:00:54,毕设：意义3（300字）,1.0
武者小路,2022-03-02,20:49:07,21:14:17,开发：完成系统设计,1.0
武者小路,2022-03-02,21:14:31,21:39:43,开发：签到表开发,1.0
武者小路,2022-03-02,21:40:02,22:05:06,开发：完成签到表的逻辑响应,0.0
武者小路,2022-03-02,22:17:35,22:42:58,开发：完成签到表的逻辑响应,1.0
武者小路,2022-03-03,09:20:48,09:50:53,开发：签到1,1.0
武者小路,2022-03-03,10:02:48,10:27:53,开发：签到2,1.0
武者小路,2022-03-03,10:33:15,11:11:20,开发：签到3,1.0
武者小路,2022-03-03,14:36:08,15:00:32,规划：毕设的后期规划,1.0
武者小路,2022-03-03,15:10:07,15:35:20,毕设：出租车300字,1.0
武者小路,2022-03-03,16:09:34,16:34:27,毕设：背景和意义收尾,1.0
武者小路,2022-03-03,17:02:12,17:27:53,毕设：人类出行不确定性1,1.0
武者小路,2022-03-03,18:41:10,19:07:13,毕设：速度相关的论文与阅读,1.0
武者小路,2022-03-03,19:46:07,20:18:07,毕设：路程相关论文阅读,1.0
武者小路,2022-03-03,20:19:20,20:44:45,毕设：红绿灯交叉口相关论文阅读,1.0
武者小路,2022-03-04,08:37:58,09:03:52,开发：打包好开发所需的文件,1.0
武者小路,2022-03-04,09:17:08,09:42:32,开发：完成文档编写,1.0
武者小路,2022-03-04,10:02:38,10:27:54,规划：今日的规划及行动,1.0
武者小路,2022-03-04,10:50:18,11:15:19,毕设：读完现有的文献,0.0
武者小路,2022-03-04,11:21:29,11:42:36,毕设：读完现有的文献,1.0
武者小路,2022-03-04,14:10:45,14:29:19,毕设：完成速度的文献查找,0.0
武者小路,2022-03-04,14:43:24,15:08:41,毕设：完成速度的文献下载与阅读,1.0
武者小路,2022-03-04,15:44:24,16:12:34,毕设：优化研究目标,1.0
武者小路,2022-03-04,16:34:05,16:56:59,毕设：研究内容1,1.0
武者小路,2022-03-04,17:13:40,17:39:03,毕设：研究内容2,1.0
武者小路,2022-03-04,20:26:44,20:52:04,毕设：读论文,1.0
武者小路,2022-03-04,21:33:04,22:14:19,毕设：读论文,1.0
武者小路,2022-03-05,15:07:52,15:33:09,毕设：第二章内容,1.0
武者小路,2022-03-05,15:44:14,16:09:37,毕设：第二章具体每一段的内容及写作策略,0.0
武者小路,2022-03-05,16:15:39,16:50:13,毕设：GAM模型研究,1.0
武者小路,2022-03-05,17:07:15,17:34:32,毕设：广义加性模型思路完成,1.0
武者小路,2022-03-05,19:14:21,19:33:26,开发：理解OKR，设立OKR体系,1.0
武者小路,2022-03-05,21:10:14,21:37:32,开发：OKR学习,1.0
武者小路,2022-03-05,21:46:32,22:29:56,开发：OKR学习2,1.0
武者小路,2022-03-06,09:20:02,09:45:25,规划：okr及今日目标,1.0
武者小路,2022-03-06,09:49:57,10:18:11,毕设：整体介绍用户均衡以及系统最优,1.0
武者小路,2022-03-06,10:21:04,11:03:25,毕设：给出用户均衡的优化公式，并且给出相应的证明1,1.0
武者小路,2022-03-06,14:38:52,15:04:11,毕设：给出用户均衡的优化公式，并且给出相应的证明2（公式都贴完）,0.0
武者小路,2022-03-06,15:09:15,15:40:10,毕设：给出用户均衡的优化公式，并且给出相应的证明2（公式都贴完）2,1.0
武者小路,2022-03-06,15:46:59,16:12:54,毕设：给出用户均衡的优化公式，并且给出相应的证明,1.0
武者小路,2022-03-06,16:40:50,17:10:21,毕设：SUE完成,0.0
武者小路,2022-03-06,18:53:37,19:19:04,毕设：SUE的选择模型结束,1.0
武者小路,2022-03-06,19:39:42,20:04:35,毕设：SUE完全结束,1.0
武者小路,2022-03-06,20:12:50,20:37:59,毕设：出租车数据技术部分构思,1.0
武者小路,2022-03-06,20:42:49,21:08:29,毕设：出租车GPS数据采集,0.0
武者小路,2022-03-06,21:15:30,21:43:37,毕设：出租车GPS数据采集2,1.0
武者小路,2022-03-06,21:47:38,22:04:47,毕设：出租车GPS数据处理,1.0
武者小路,2022-03-07,08:29:40,09:00:35,规划：昨天反思与今日规划,1.0
武者小路,2022-03-07,09:04:57,09:30:19,小论文：修改图表（学习图表格式）,1.0
武者小路,2022-03-07,09:43:05,10:13:53,小论文：插入公式（完成图表排版）,1.0
武者小路,2022-03-07,10:14:10,10:42:46,小论文：开始排版1,0.0
武者小路,2022-03-07,10:47:46,11:13:45,小论文：开始排版1,1.0
武者小路,2022-03-07,11:19:32,11:44:58,毕设：数据处理1,1.0
武者小路,2022-03-07,16:31:44,16:57:39,毕设：数据处理（300字）,1.0
武者小路,2022-03-07,17:03:28,17:28:47,毕设：数据处理（300字）,1.0
武者小路,2022-03-07,19:44:58,20:14:40,SUE：理一下后面要汇报的东西,1.0
武者小路,2022-03-07,21:15:52,21:35:00,组会：整理上次组会的内容,0.0
武者小路,2022-03-08,08:58:56,09:25:23,规划：思考以下今天的任务、毕设要怎么改,1.0
武者小路,2022-03-08,09:29:07,09:57:17,毕设：shap理论学习1,1.0
武者小路,2022-03-08,10:06:08,10:33:08,毕设：shap实验初探,1.0
武者小路,2022-03-08,10:48:46,12:16:56,毕设：EBM模型构建,1.0
武者小路,2022-03-08,14:45:37,15:12:11,毕设：构建模型！,1.0
武者小路,2022-03-08,15:13:03,16:09:05,毕设：构建xgb模型！,1.0
武者小路,2022-03-08,20:01:32,20:26:32,SUE：阅读陈老师发的文献,1.0
武者小路,2022-03-08,20:28:54,20:46:52,毕设：找找外文文献的文献综述,1.0
武者小路,2022-03-08,20:47:38,21:26:08,毕设：外文文献检索1,1.0
武者小路,2022-03-09,09:18:14,09:44:02,规划：今日的规划,1.0
武者小路,2022-03-09,09:49:42,10:14:57,毕设：地图匹配240字,1.0
武者小路,2022-03-09,10:45:36,11:20:51,毕设：寻找DBSCAN和DTW的相关文献,0.0
武者小路,2022-03-09,14:36:50,14:54:09,毕设：整理陈老师之前发的文献,1.0
武者小路,2022-03-09,19:19:53,19:46:22,毕设：相似性度量300字,1.0
武者小路,2022-03-09,20:05:53,20:48:48,毕设：相似性度量300字,1.0
武者小路,2022-03-09,21:46:47,22:09:40,毕设：DBSCAN,0.0
武者小路,2022-03-10,09:16:28,09:26:27,规划：反思昨天，展望今天！,0.0
武者小路,2022-03-10,10:16:10,10:46:08,毕设：轨迹聚类200字,1.0
武者小路,2022-03-10,14:34:16,15:00:22,毕设：聚类200字,1.0
武者小路,2022-03-10,15:07:57,15:38:47,毕设：聚类算法流程完成,1.0
武者小路,2022-03-10,15:52:44,16:10:07,毕设：结束聚类200字,1.0
武者小路,2022-03-10,16:29:38,16:58:34,毕设：广义加性模型第一段完成,1.0
武者小路,2022-03-10,17:22:11,17:48:28,毕设：完成加性模型+广义,0.0
武者小路,2022-03-10,19:31:06,19:52:51,毕设：GAM 200字,1.0
武者小路,2022-03-10,20:00:05,20:30:20,毕设：GAM完结,1.0
武者小路,2022-03-10,20:40:34,21:09:42,毕设：看一下这篇博士论文,1.0
武者小路,2022-03-10,21:10:35,21:35:36,毕设：看完其他两篇主要论文,1.0
武者小路,2022-03-10,21:46:59,22:05:35,毕设：对后面要写的东西做规划，图和表分别还欠哪些？,0.0
武者小路,2022-03-11,08:39:29,09:04:44,规划：今天目标,1.0
武者小路,2022-03-11,09:05:05,09:30:59,开发：得分系统1（排序）,1.0
武者小路,2022-03-11,09:31:14,09:59:25,开发：得分系统2（完成分数输出！）,1.0
武者小路,2022-03-11,10:21:19,10:46:26,毕设：200字,0.0
武者小路,2022-03-11,10:54:47,11:16:05,小论文：整理+打印,1.0
武者小路,2022-03-11,17:11:37,17:36:50,毕设：研究区域200字,0.0
武者小路,2022-03-11,19:29:44,19:56:41,毕设：研究区域200字,1.0
武者小路,2022-03-11,20:04:41,20:37:00,毕设：研究区域200字,1.0
武者小路,2022-03-11,20:47:35,21:15:45,毕设：研究数据200字,0.0
武者小路,2022-03-11,21:27:36,21:54:03,毕设：研究数据200字,1.0
